id,name,surname,rank,country
201594,Bernard,Frances,2,FRA
201594,Simona,Halep,2,ROU
211768,Naomi,Osaka,3,JPN
213550,Sofia,Kenin,4,USA
202494,Frederic,De Rouvroy,5,FRA
202494,Elina,Svitolina,5,UKR
201662,Pete,Kendall,6,USA
201662,Karolina,Pliskova,6,CZE
215370,Bianca,Andreescu,7,CAN
201520,Benoit,Bouchet,8,FRA
201520,Petra,Kvitova,8,CZE
202428,Joao Pedro,Alcantara,9,BRA
202428,Kiki,Bertens,9,NED
214544,Aryna,Sabalenka,10,BLR
200033,Kushaan,Nath,11,IND
200033,Serena,Williams,11,USA
202505,Mark,Smith,12,USA
202505,Belinda,Bencic,12,SUI
201458,Leo,Lau,13,HKG
201458,Victoria,Azarenka,13,BLR
202427,Cyril,Respaut,14,FRA
202427,Johanna,Konta,14,GBR
202469,Olivier,Peyret,15,MON
202469,Garbine,Muguruza,15,ESP
201619,Christian,Hubscher,16,GER
201619,Madison,Keys,16,USA
216347,Iga,Swiatek,17,POL
201549,Claude,London,18,UNK
201549,Petra,Martic,18,CRO
214981,Elena,Rybakina,19,KAZ
210722,Elise,Mertens,20,BEL
214954,Marketa,Vondrousova,21,CZE
206289,Garrett,Patton,22,USA
206289,Maria,Sakkari,22,GRE
204426,Javier,Martinez,23,ESP
204426,Anett,Kontaveit,23,EST
206108,Adam,Blecha,24,CZE
206108,Jennifer,Brady,24,USA
201493,Paul,Odonoghue,25,CAN
201493,Angelique,Kerber,25,GER
201590,Stephen,Zeilen,26,UNK
201590,Alison,Riske,26,USA
214096,Karolina,Muchova,27,CZE
201709,Gavin Pr,Clunie,28,GBR
201709,Yulia,Putintseva,28,KAZ
215035,Dayana,Yastremska,29,UKR
216153,Amanda,Anisimova,30,USA
202460,Alejandro,Madrigal Alpizar,31,CRC
202460,Ons,Jabeur,31,TUN
202499,Yuval,Toledano,32,ISR
202499,Donna,Vekic,32,CRO
206420,Lornzo,Boveri,33,ITA
